,Year,y_cotton,y_corn,y_barley,y_alfalfa,y_durum,y_vegetables,p_cotton,p_corn,p_barley,p_durum,p_alfalfa,pdsi,temp,precipitation
39,2030,1981.032886,213.35,131.399,9.681000000000001,118.9656,11471.7,0.756,6.104414265300001,5.8413668562,10.259119629,293.69916432,-6.843999999999999,71.8231855,5.473
40,2031,2008.9623969999998,214.295,132.2023,9.7291,119.16431999999999,11157.39,0.7624799999999999,6.2859196728,5.9844522843000005,10.592720604,305.44080417000004,-7.0688,71.90223447,5.3511
41,2032,2037.285671,215.24,133.0056,9.7772,119.36303999999998,10843.08,0.7689600000000001,6.472821864599999,6.1310426193000005,10.93716945,317.65185675,-7.2936,71.98137045,5.2292
42,2033,2066.008259,216.185,133.8089,9.8253,119.56176,10528.77,0.77544,6.665281308,6.281223712199999,11.292818913000001,330.35108832000003,-7.5184,72.06059352,5.1073
43,2034,2095.135792,217.13,134.6122,9.8734,119.76048,10214.46,0.7819200000000001,6.8634632376,6.4350835209,11.660033214,343.55801556,-7.7432,72.13990379,4.9854
44,2035,2124.6739780000003,218.075,135.4155,9.9215,119.9592,9900.15,0.7883999999999999,7.0675378038000005,6.5927121561,12.039188409000001,357.29293545,-7.968,72.21930134,4.8635
45,2036,2154.628607,219.02,136.2188,9.9696,120.15791999999999,9585.84,0.79488,7.277680214099999,6.754201935300001,12.430672776000002,371.57695632,-8.1928,72.29878628,4.7416
46,2037,2185.00555,219.965,137.0221,10.0177,120.35663999999998,9271.53,0.80136,7.494070887000001,6.919647438599999,12.834887247,386.43203024999997,-8.4176,72.3783587,4.6197
47,2038,2215.8107609999997,220.91,137.8254,10.0658,120.55536000000001,8957.22,0.80784,7.7168956049999995,7.0891455618000006,13.252245759,401.88098709,-8.6424,72.4580187,4.4978
48,2039,2247.050278,221.855,138.6287,10.1139,120.75408,8642.91,0.81432,7.9463456748,7.262795574900001,13.683175731,417.94756947,-8.8672,72.53776638,4.3759
49,2040,2278.730224,222.8,139.43200000000002,10.162,120.9528,8328.6,0.8208000000000001,8.1826180911,7.4406991797,14.128118478000001,434.65646906999996,-9.092,72.61760182,4.254
50,2041,2310.856808,223.745,140.2353,10.2101,121.15151999999999,8014.29,0.82728,8.425915705800001,7.622960567400001,14.587529643,452.03336469000004,-9.3168,72.69752513,4.1321
51,2042,2343.4363280000002,224.69,141.0386,10.2582,121.35023999999999,7699.98,0.8337600000000001,8.676447402600001,7.8096864843,15.061879710000003,470.10496184999994,-9.5416,72.77753641,4.0102
52,2043,2376.4751690000003,225.635,141.8419,10.3063,121.54896000000001,7385.67,0.84024,8.9344282752,8.0009862885,15.551654463,488.8990335600001,-9.7664,72.85763574,3.8883
53,2044,2409.979806,226.58,142.6452,10.3544,121.74768,7071.36,0.84672,9.20007981,8.196972019199999,16.057355471999998,508.44446333999997,-9.9912,72.93782324,3.7664
54,2045,2443.956808,227.525,143.4485,10.4025,121.9464,6757.05,0.8532,9.473630094,8.3977584588,16.579500615,528.7712892300001,-10.216000000000001,73.01809899,3.6445
55,2046,2478.412833,228.47,144.2518,10.4506,122.14511999999999,6442.74,0.8596800000000001,9.755313975,8.6034632022,17.118624618000002,549.91075032,-10.4408,73.09846309,3.5226
56,2047,2513.354634,229.415,145.0551,10.4987,122.34383999999999,6128.43,0.86616,10.045373291999999,8.814206723400002,17.675279586000002,571.8953344500001,-10.6656,73.17891564,3.4007
57,2048,2548.789061,230.36,145.8584,10.5468,122.54256000000001,5814.12,0.8726400000000001,10.344057075,9.030112452,18.250035579,594.75882834,-10.8904,73.25945674,3.2788
58,2049,2584.723059,231.305,146.6617,10.5949,122.74128,5499.81,0.87912,10.651621770000002,9.251306829,18.843481206000003,618.53636952,-11.1152,73.34008648,3.1569
59,2050,2621.1636710000002,232.25,147.465,10.642999999999999,122.94,5185.5,0.8856,10.968331428,9.477919404,19.45622421,643.26450015,-11.34,73.42080496,3.035
