,demand_site,crop,proportion,crop_type,default_expression,time_series
27,Arlington,VegFruit,0.015546499,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\arlingto_VegFruit.xlsx, A3:B12))",0
28,Buckeye,Alfalfa_hay,0.149789842,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Alfalfa.xlsx, A3:B12))*0.760",0
29,Buckeye,Alfalfa_haylage,0.047302055,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Alfalfa.xlsx, A3:B12))*0.24",0
30,Buckeye,Corn_silage,0.059701241,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Corn.xlsx, A3:B12))*0.9553",0
31,Buckeye,Corn_grain,0.002793516,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Corn.xlsx, A3:B12))*0.0447",0
32,Buckeye,Barley,0.194686944,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Barley.xlsx, A3:B12))",0
33,Buckeye,Cotton,0.06031276,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Cotton.xlsx, A3:B12))",0
34,Buckeye,Durum_Wheat,0.065110131,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Durum Wheat.xlsx, A3:B12))",0
35,Buckeye,Potatoes,0.002200417,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Potatoes.xlsx, A3:B12))",0
36,Buckeye,Sorghum_grain,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Sorghum.xlsx, A3:B12))*0.1898",0
37,Buckeye,Sugarbeets,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Sugarbeets.xlsx, A3:B12))",0
38,Buckeye,Winter_Wheat,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Winter Wheat.xlsx, A3:B12))",0
39,Buckeye,Other_Hay,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Other Hay.xlsx, A3:B12))",0
40,Buckeye,Sorghum_silage,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Sorghum.xlsx, A3:B12))*0.8102",0
41,Buckeye,VegFruit,0.034914847,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_VegFruit.xlsx, A3:B12))",0
42,Maricopa_Water_District,Alfalfa_hay,0.027439232,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\maricowd_Alfalfa.xlsx, A3:B12))*0.760",0
