Year,0,1,2,3,4,5,6
1991,0.2946129008513277,0.24227931754452103,0.04882698266641105,0.058110290715289836,0.05279539952137678,0.0744784132910833,0.22889669540999044
1992,0.3641922052850981,0.22501145147469634,0.027830178169181666,0.037542291822041815,0.07535668650524585,0.09119726173887376,0.17886992500486262
1993,0.30056668019050337,0.2619471689731183,0.031363494025412504,0.043238792452253684,0.061040604480374426,0.09627721628963323,0.20556604358870434
1994,0.43334572950946715,0.21739963700159476,0.032211952408505495,0.045316946193061036,0.06703626271977313,0.10718943804891766,0.0975000341186808
1995,0.39491268585782113,0.27834575004911694,0.04308963481756555,0.04222499625924595,0.107857870031936,0.0856016606233328,0.04796740236098165
1996,0.30515687510793243,0.24625037439578712,0.07127092687372497,0.06689855704601853,0.11676168485511401,0.0815641231461798,0.1120974585752432
1997,0.27588689232796,0.27486148845425057,0.08375882912844866,0.08398111675233193,0.08348063951915133,0.08182020801883795,0.11621082579901953
1998,0.2663031551124484,0.2651020662938509,0.05643362992664292,0.06846035410999822,0.09094882217500408,0.07585717021610648,0.17689480216594905
1999,0.3149945237056807,0.2542650747004791,0.05728442512117946,0.05861907303046071,0.061036044417407655,0.07569969593652319,0.17810116308826904
2000,0.28249647382099674,0.28982679325966965,0.06760333817016922,0.05395055480480664,0.05323617275505205,0.07717217845677986,0.17571448873252576
2001,0.20785546128809418,0.3561814265140041,0.07845804560165333,0.049412425350851864,0.07150376917356298,0.08090008262504329,0.15568878944679032
2002,0.1280158722401371,0.39176995965343764,0.10140541419211746,0.0681011832269548,0.051591320540911326,0.07223576507802336,0.18688048506841826
2003,0.19121351923010416,0.41885759248532883,0.08037868871759293,0.04554730507375064,0.06388156336355617,0.09454297998595373,0.10557835114371357
2004,0.14452990648105782,0.409412345912938,0.08858269062307343,0.047414296373562176,0.062118319824793,0.08534450619710549,0.16259793458747007
2005,0.23313812075753418,0.3633733597159794,0.06496057848171145,0.04741243429475719,0.08228004837423845,0.10114874936879582,0.10768670900698336
2006,0.14914048825382997,0.4250168300033483,0.07278095710473964,0.05733426994611741,0.03912502444714471,0.08233314493948908,0.17426928530533106
2007,0.09860745335022346,0.4534244196168077,0.08511144834793964,0.06339674349929804,0.0844590472037586,0.08017511094368474,0.13482577703828771
2008,0.09549750906301037,0.5108063817535328,0.07092564151077377,0.06280440765860769,0.07018090597520328,0.08202224597170922,0.10776290806716288
2009,0.08002134518917385,0.4717572481486378,0.0650715998267257,0.04853853053687669,0.12136730666899563,0.08554212149367899,0.1277018481359112
2010,0.13045540488422885,0.4789301109342778,0.07959621473221616,0.0521566687341543,0.04782027753207174,0.07602073189395706,0.13502059128909402
2011,0.16376797201245197,0.47891320337647314,0.07424166440910426,0.11841591207743679,0.0400380634735927,0.07032310007767015,0.05430008457327088
2012,0.1129910503937854,0.519836753016011,0.10300042945684101,0.08512924321784275,0.040704896782797206,0.06993759472135128,0.06840003241137134
2013,0.13042737564824095,0.36487842334004433,0.09500841542931109,0.12003855161263897,0.05529116610092279,0.07879258098807526,0.1555634868807666
2014,0.07368247414111659,0.4821440499891491,0.08457734943279914,0.06026072365164085,0.07540566582526509,0.09266601140228527,0.1312637255577439
2015,0.05526893434856903,0.6062776973988654,0.0676455493417095,0.02335145637133671,0.10356512887199126,0.10081809714581383,0.04307313652171443
2016,0.04383578540081289,0.6182804603047768,0.09842849596603866,0.017877345466197476,0.060586663053834956,0.10638415172300461,0.05460709808533453
2017,0.061251324058420646,0.6001169967634195,0.09340860961779658,0.02756823386133548,0.048591502601723915,0.11138226514075943,0.05768106795654446
2018,0.07388039155101621,0.58452025184232,0.11517912612366597,0.03826277987672848,0.04549457811628046,0.1171613250718196,0.02550154741816929
2019,0.19189210242170313,0.29241478603269005,0.10990122709824812,0.13331257874274036,0.10009062060470544,0.07599489042115971,0.09639379467875324
2020,0.17899384200478727,0.3040546354344656,0.11368101200798197,0.13556271230716738,0.09907586372560816,0.07640230315618309,0.09222963136380645
2021,0.16658396050707305,0.31548959213226996,0.1173956125185508,0.13793954624339289,0.09784726441428006,0.07669930560518366,0.08804471857924955
2022,0.15469736272900564,0.326660126980018,0.12103103167660444,0.14046012280531955,0.09640876907407393,0.07688627178186684,0.08385631495311154
2023,0.1433612295615549,0.33750848517428456,0.12457414155051481,0.14314363201573724,0.09476625327550169,0.07696463892696656,0.07968161949544031
2024,0.13259507721240418,0.3479792042386801,0.12801273893937762,0.14601140176796687,0.09292733814841181,0.07693679580229879,0.07553744389086063
2025,0.12241101141528318,0.3580195226524688,0.13133555469998295,0.14908686022449016,0.09090118125021186,0.0768059513260352,0.07143991843152783
2026,0.11281416511508456,0.367579646407079,0.1345322161997942,0.1523954847206737,0.08869825648698203,0.07657598667097848,0.06740424439940798
2027,0.10380326257909994,0.37661292242576483,0.13759317294092127,0.15596471325148578,0.08633013222351998,0.07625130278589139,0.06344449379331672
2028,0.0953713011685294,0.3850758864095645,0.14050958881972989,0.15982383620866317,0.08380925866769721,0.07583666508836255,0.059573463637453146
2029,0.08750628326636134,0.3929282624896132,0.14327321470753504,0.164003827375855,0.08114877584409019,0.07533705817368207,0.0558025781428631
2030,0.08019199200662283,0.4001328971738267,0.1458762509410808,0.1685371237789257,0.07836234329348261,0.07475755163858713,0.05214184116747402
2031,0.07340876819004236,0.406655677935823,0.14831121093248797,0.17345732267300326,0.07546400415375198,0.07410318429104891,0.04859983182384265
2032,0.06713425915568069,0.4124654882322948,0.15057080439809212,0.17879876009928797,0.07246807882692512,0.07337887330080799,0.04518373598691133
2033,0.06134413157052567,0.41753420933823937,0.15264785103530334,0.18459595575820895,0.0693890930690984,0.07258934872517436,0.041899410503450016
2034,0.05601272044998585,0.4218368437918974,0.15453524572869023,0.19088286345259078,0.066241736638387,0.07173912138592155,0.038751468552527264
2035,0.0511136174364982,0.4253517736822827,0.1562259885058995,0.1976919055831004,0.06304084902762498,0.07083248327623326,0.035743382488360835
