,branch,variable-name,type
60,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Verde WTP,Activity Level,input
61,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,input
62,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Activity Level,input
63,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Final Energy Intensity Time Sliced,input
64,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Activity Level,input
65,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,input
66,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Mark Wilmer,Activity Level,input
67,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,input
68,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Bouse Hills,Activity Level,input
69,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,input
70,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Little Harquahala,Activity Level,input
71,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,input
72,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Hassayampa,Activity Level,input
73,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,input
74,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Waddell,Activity Level,input
75,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,input
76,Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts\Pumping in irrigation districts,Activity Level,input
77,Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts\Pumping in irrigation districts,Final Energy Intensity Time Sliced,input
78,Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Activity Level,input
79,Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Final Energy Intensity Time Sliced,input
80,Demand\Industrial\Water infrastructure\Agricultural\Groundwater\Pumping,Activity Level,input
81,Demand\Industrial\Water infrastructure\Agricultural\Groundwater\Pumping,Final Energy Intensity Time Sliced,input
82,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Mark Wilmer,Activity Level,input
83,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,input
84,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Bouse Hills,Activity Level,input
85,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,input
86,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Little Harquahala,Activity Level,input
87,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,input
88,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Hassayampa,Activity Level,input
89,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,input
90,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Waddell,Activity Level,input
91,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,input
92,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\White Tanks WTP,Activity Level,input
93,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\White Tanks WTP,Final Energy Intensity Time Sliced,input
94,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,input
95,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,input
96,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,input
97,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,input
98,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,input
99,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,input
100,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,input
101,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,input
102,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Activity Level,input
103,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,input
104,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Activity Level,input
105,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Final Energy Intensity Time Sliced,input
106,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Activity Level,input
107,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,input
108,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,input
109,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,input
110,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,input
111,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,input
112,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,input
113,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,input
114,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,input
115,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,input
116,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,input
117,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,input
118,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,input
119,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,input
120,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\South Tempe WTP,Activity Level,input
121,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\South Tempe WTP,Final Energy Intensity Time Sliced,input
122,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Activity Level,input
123,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Final Energy Intensity Time Sliced,input
124,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Gilbert WTP,Activity Level,input
125,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Gilbert WTP,Final Energy Intensity Time Sliced,input
126,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Chandler WTP,Activity Level,input
127,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Chandler WTP,Final Energy Intensity Time Sliced,input
128,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Verde WTP,Activity Level,input
129,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,input
130,Demand\Industrial\Water infrastructure\Indian\Groundwater\Pumping,Activity Level,input
131,Demand\Industrial\Water infrastructure\Indian\Groundwater\Pumping,Final Energy Intensity Time Sliced,input
132,Demand\Industrial\Water infrastructure\Indian\Groundwater\Treatment and distribution,Activity Level,input
133,Demand\Industrial\Water infrastructure\Indian\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,input
134,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Mark Wilmer,Activity Level,input
135,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,input
136,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Bouse Hills,Activity Level,input
137,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,input
138,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Little Harquahala,Activity Level,input
139,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,input
140,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Hassayampa,Activity Level,input
141,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,input
142,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Waddell,Activity Level,input
143,Demand\Industrial\Water infrastructure\Industrial\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,input
144,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\White Tanks WTP,Activity Level,input
145,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\White Tanks WTP,Final Energy Intensity Time Sliced,input
146,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,input
147,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,input
148,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,input
149,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,input
150,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,input
151,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,input
152,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,input
153,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,input
154,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Mesa WTP,Activity Level,input
155,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,input
156,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Activity Level,input
157,Demand\Industrial\Water infrastructure\Industrial\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Final Energy Intensity Time Sliced,input
158,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Peoria Greenway WTP,Activity Level,input
159,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,input
160,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,input
161,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,input
162,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,input
163,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,input
164,Demand\Industrial\Water infrastructure\Industrial\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,input
