,branch,variable,expression
39,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,0.0215*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
40,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,100
41,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,0.1226*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
42,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,100
43,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,0.0598*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*568.834*0.000810714
44,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,100
45,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,0.1706*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*592.967*0.000810714
46,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,100
47,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,0.1073*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*565.004*0.000810714
48,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,100
49,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,0.1103*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*582.537*0.000810714
50,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,100
51,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,0.0368*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
52,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\South Tempe WTP,Activity Level,100
53,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\South Tempe WTP,Final Energy Intensity Time Sliced,0.0199*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
54,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Activity Level,100
55,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Phoenix Mesa Val Vista WTP,Final Energy Intensity Time Sliced,0.0375*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*559.534*0.000810714
56,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Gilbert WTP,Activity Level,100
57,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Gilbert WTP,Final Energy Intensity Time Sliced,0.1245*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*577.922*0.000810714
58,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Chandler WTP,Activity Level,100
59,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Chandler WTP,Final Energy Intensity Time Sliced,0.0149*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*574.648*0.000810714
60,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Verde WTP,Activity Level,100
61,Demand\Industrial\Water infrastructure\Municipal\SRP\Treatment and distribution\Verde WTP,Final Energy Intensity Time Sliced,0.1743*WEAPValue(Supply and Resources\Transmission Links\to Municipal\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
62,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Activity Level,100
63,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Pumping,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Municipal\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Municipal\from GW_Backup:Flow[m^3]))*298*0.000810714
64,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Activity Level,100
65,Demand\Industrial\Water infrastructure\Municipal\Groundwater\Treatment and distribution,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Municipal\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Municipal\from GW_Backup:Flow[m^3]))*130.34*0.000810714
66,Demand\Industrial\Water infrastructure\Agricultural\CAP\Conveyance\Mark Wilmer,Activity Level,100
