WEAP Variables,,,
,branch,variable-name,type
85,Demand Sites and Catchments\New_Magma\Sorghum_grain,Maximum Infiltration Rate,input
86,Demand Sites and Catchments\New_Magma\Sorghum_grain,Release Requirement,input
87,Demand Sites and Catchments\New_Magma\Sorghum_grain,Maximum Percolation Rate,input
88,Demand Sites and Catchments\New_Magma\Sorghum_grain,Effective Precipitation,input
89,Demand Sites and Catchments\New_Magma\Sorghum_grain,Fraction Covered,input
90,Demand Sites and Catchments\New_Magma\Sorghum_grain,Direct Recharge to GW,input
91,Demand Sites and Catchments\New_Magma\Potatoes,Area,input
92,Demand Sites and Catchments\New_Magma\Potatoes,Potential Yield,input
93,Demand Sites and Catchments\New_Magma\Potatoes,Irrigation Schedule,input
94,Demand Sites and Catchments\New_Magma\Potatoes,Market Price,input
95,Demand Sites and Catchments\New_Magma\Potatoes,Fraction Wetted,input
96,Demand Sites and Catchments\New_Magma\Potatoes,Total Soil Thickness,input
97,Demand Sites and Catchments\New_Magma\Potatoes,Irrigation Efficiency,input
98,Demand Sites and Catchments\New_Magma\Potatoes,Loss to Groundwater,input
99,Demand Sites and Catchments\New_Magma\Potatoes,Soil Water Capacity,input
100,Demand Sites and Catchments\New_Magma\Potatoes,Loss to Runoff,input
101,Demand Sites and Catchments\New_Magma\Potatoes,Minimum Depth,input
102,Demand Sites and Catchments\New_Magma\Potatoes,Target Depth,input
103,Demand Sites and Catchments\New_Magma\Potatoes,Maximum Infiltration Rate,input
104,Demand Sites and Catchments\New_Magma\Potatoes,Release Requirement,input
105,Demand Sites and Catchments\New_Magma\Potatoes,Maximum Percolation Rate,input
106,Demand Sites and Catchments\New_Magma\Potatoes,Effective Precipitation,input
107,Demand Sites and Catchments\New_Magma\Potatoes,Fraction Covered,input
108,Demand Sites and Catchments\New_Magma\Potatoes,Direct Recharge to GW,input
109,Demand Sites and Catchments\New_Magma\Sugarbeets,Area,input
110,Demand Sites and Catchments\New_Magma\Sugarbeets,Potential Yield,input
111,Demand Sites and Catchments\New_Magma\Sugarbeets,Irrigation Schedule,input
112,Demand Sites and Catchments\New_Magma\Sugarbeets,Market Price,input
113,Demand Sites and Catchments\New_Magma\Sugarbeets,Fraction Wetted,input
114,Demand Sites and Catchments\New_Magma\Sugarbeets,Total Soil Thickness,input
115,Demand Sites and Catchments\New_Magma\Sugarbeets,Irrigation Efficiency,input
116,Demand Sites and Catchments\New_Magma\Sugarbeets,Loss to Groundwater,input
117,Demand Sites and Catchments\New_Magma\Sugarbeets,Soil Water Capacity,input
118,Demand Sites and Catchments\New_Magma\Sugarbeets,Loss to Runoff,input
119,Demand Sites and Catchments\New_Magma\Sugarbeets,Minimum Depth,input
120,Demand Sites and Catchments\New_Magma\Sugarbeets,Target Depth,input
121,Demand Sites and Catchments\New_Magma\Sugarbeets,Maximum Infiltration Rate,input
